Country,Year,Delta
Finland,2003,-2.174
Finland,2004,2.222
Finland,2005,0.000
Finland,2006,2.174
Finland,2007,-1.277
Finland,2008,2.155
Finland,2009,-2.110
Finland,2010,2.586
Finland,2011,-3.361
Finland,2012,1.739
Finland,2013,-0.855
Finland,2014,3.017
Finland,2015,-0.418
Finland,2016,-1.261
Finland,2017,0.000
Finland,2018,-3.404
Finland,2019,-3.524
Finland,2020,4.566
France,1966,Infinity
France,1967,55.556
France,1968,50.000
France,1969,47.619
France,1970,16.129
France,1971,58.333
France,1972,63.158
France,1973,56.989
France,1974,1.370
France,1975,-0.676
France,1976,23.810
France,1977,-13.187
France,1978,13.291
France,1979,70.391
France,1980,31.148
France,1981,53.250
France,1982,71.778
France,1983,3.419
France,1984,32.507
France,1985,32.502
France,1986,17.207
France,1987,13.432
France,1988,4.445
France,1989,3.766
France,1990,10.309
France,1991,3.356
France,1992,5.476
France,1993,2.143
France,1994,8.806
France,1995,-2.227
France,1996,4.778
France,1997,5.329
France,1998,-0.453
France,1999,-1.896
France,2000,1.598
France,2001,5.327
France,2002,1.421
France,2003,3.728
France,2004,0.984
France,2005,1.610
France,2006,0.736
France,2007,-0.288
France,2008,-2.332
France,2009,-0.068
France,2010,-6.759
France,2011,4.589
France,2012,3.244
France,2013,-3.843
France,2014,-0.400
France,2015,3.021
France,2016,0.206
France,2017,-7.819
France,2018,-1.190
France,2019,3.865
France,2020,-3.480
Germany,1966,Infinity
Germany,1967,200.000
Germany,1968,300.000
Germany,1969,50.000
Germany,1970,172.222
Germany,1971,32.653
Germany,1972,-4.615
Germany,1973,53.226
Germany,1974,27.368
Germany,1975,19.835
Germany,1976,66.207
Germany,1977,22.407
Germany,1978,40.000
Germany,1979,6.295
Germany,1980,18.679
Germany,1981,6.718
Germany,1982,17.806
Germany,1983,13.588
Germany,1984,4.973
Germany,1985,33.547
Germany,1986,32.886
Germany,1987,-5.844
Germany,1988,8.582
Germany,1989,10.656
Germany,1990,3.125
Germany,1991,-5.690
Germany,1992,-3.344
Germany,1993,7.734
Germany,1994,-3.338
Germany,1995,-1.498
Germany,1996,1.918
Germany,1997,4.867
Germany,1998,5.384
Germany,1999,-5.109
Germany,2000,5.198
Germany,2001,-0.235
Germany,2002,1.002
Germany,2003,-3.795
Germany,2004,0.182
Germany,2005,1.211
Germany,2006,-2.454
Germany,2007,2.699
Germany,2008,-16.069
Germany,2009,5.907
Germany,2010,-9.341
Germany,2011,4.225
Germany,2012,-23.186
Germany,2013,-7.870
Germany,2014,-2.211
Germany,2015,-0.206
Germany,2016,-5.458
Germany,2017,-7.843
Germany,2018,-9.811
Germany,2019,-0.393
Germany,2020,-1.184
Hungary,1984,Infinity
Hungary,1985,52.000
Hungary,1986,71.053
Hungary,1987,13.846
Hungary,1988,48.649
Hungary,1989,21.818
Hungary,1990,3.731
Hungary,1991,-1.439
Hungary,1992,0.000
Hungary,1993,2.190
Hungary,1994,-1.429
Hungary,1995,1.449
Hungary,1996,0.000
Hungary,1997,1.429
Hungary,1998,-1.408
Hungary,1999,-0.714
Hungary,2000,1.439
Hungary,2001,0.709
Hungary,2002,-0.704
Hungary,2003,-0.709
Hungary,2004,-21.429
Hungary,2005,8.182
Hungary,2006,15.966
Hungary,2007,-2.174
Hungary,2008,8.889
Hungary,2009,0.680
Hungary,2010,4.054
Hungary,2011,2.597
Hungary,2012,-0.633
Hungary,2013,0.637
Hungary,2014,-2.532
Hungary,2015,1.299
Hungary,2016,1.282
Hungary,2017,1.899
Hungary,2018,0.000
Hungary,2019,-2.484
Hungary,2020,3.822
Italy,1966,Infinity
Italy,1967,11.429
Italy,1968,-17.949
Italy,1969,-18.750
Italy,1970,-34.615
Italy,1971,88.235
Italy,1972,6.250
Italy,1973,5.882
Italy,1974,-13.889
Italy,1975,9.677
Italy,1976,11.765
Italy,1977,0.000
Italy,1978,-10.526
Italy,1979,29.412
Italy,1980,-40.909
Italy,1981,-15.385
Italy,1982,22.727
Italy,1983,151.852
Italy,1984,-14.706
Italy,1985,18.966
Italy,1986,1.449
Italy,1987,25.714
Italy,1988,-97.727
Lithuania,1986,Infinity
Lithuania,1987,4.211
Lithuania,1988,-7.071
Lithuania,1989,39.130
Lithuania,1990,30.469
Lithuania,1991,1.796
Lithuania,1992,0.000
Lithuania,1993,-14.118
Lithuania,1994,-15.753
Lithuania,1995,-37.398
Lithuania,1996,53.247
Lithuania,1997,17.797
Lithuania,1998,-13.669
Lithuania,1999,13.333
Lithuania,2000,-27.206
Lithuania,2001,-15.152
Lithuania,2002,35.714
Lithuania,2003,23.684
Lithuania,2004,9.929
Lithuania,2005,-2.581
Lithuania,2006,-31.788
Lithuania,2007,-15.534
Lithuania,2008,12.644
Lithuania,2009,1.020
Lithuania,2010,10.101
Netherlands,1969,Infinity
Netherlands,1970,500.000
Netherlands,1971,33.333
Netherlands,1972,0.000
Netherlands,1973,-25.000
Netherlands,1974,266.667
Netherlands,1975,200.000
Netherlands,1976,0.000
Netherlands,1977,18.182
Netherlands,1978,-5.128
Netherlands,1979,10.811
Netherlands,1980,-14.634
Netherlands,1981,20.000
Netherlands,1982,-11.905
Netherlands,1983,5.405
Netherlands,1984,-7.692
Netherlands,1985,2.778
Netherlands,1986,5.405
Netherlands,1987,7.692
Netherlands,1988,-14.286
Netherlands,1989,2.778
Netherlands,1990,8.108
Netherlands,1991,-12.500
Netherlands,1992,-5.714
Netherlands,1993,15.152
Netherlands,1994,2.632
Netherlands,1995,2.564
Netherlands,1996,0.000
Netherlands,1997,5.000
Netherlands,1998,-42.857
Netherlands,1999,58.333
Netherlands,2000,0.000
Netherlands,2001,2.632
Netherlands,2002,2.564
Netherlands,2003,-2.500
Netherlands,2004,2.564
Netherlands,2005,-5.000
Netherlands,2006,5.263
Netherlands,2007,-12.500
Netherlands,2008,20.000
Netherlands,2009,0.000
Netherlands,2010,0.000
Netherlands,2011,-4.762
Netherlands,2012,2.500
Netherlands,2013,-4.878
Netherlands,2014,-25.641
Netherlands,2015,41.379
Netherlands,2016,0.000
Netherlands,2017,-2.439
Netherlands,2018,-15.000
Netherlands,2019,2.941
Netherlands,2020,11.429
Romania,1997,Infinity
Romania,1998,285.714
Romania,1999,-1.852
Romania,2000,-1.887
Romania,2001,5.769
Romania,2002,-1.818
Romania,2003,1.852
Romania,2004,-10.909
Romania,2005,12.245
Romania,2006,1.818
Romania,2007,0.000
Romania,2008,37.500
Romania,2009,45.455
Romania,2010,5.357
Romania,2011,-1.695
Romania,2012,0.862
Romania,2013,-1.709
Romania,2014,0.870
Romania,2015,0.862
Romania,2016,-0.855
Romania,2017,-2.586
Romania,2018,1.770
Romania,2019,-0.870
Romania,2020,-0.877
Slovakia,1973,Infinity
Slovakia,1974,300.000
Slovakia,1975,150.000
Slovakia,1976,-60.000
Slovakia,1977,100.000
Slovakia,1978,-75.000
Slovakia,1979,-50.000
Slovakia,1980,4100.000
Slovakia,1981,114.286
Slovakia,1982,13.333
Slovakia,1983,13.725
Slovakia,1984,6.897
Slovakia,1985,16.129
Slovakia,1986,30.556
Slovakia,1987,24.468
Slovakia,1988,-1.709
Slovakia,1989,0.000
Slovakia,1990,6.087
Slovakia,1991,-1.639
Slovakia,1992,-2.500
Slovakia,1993,-5.128
Slovakia,1994,3.604
Slovakia,1995,9.565
Slovakia,1996,-9.524
Slovakia,1997,-1.754
Slovakia,1998,-0.893
Slovakia,1999,2.703
Slovakia,2000,14.912
Slovakia,2001,25.954
Slovakia,2002,3.636
Slovakia,2003,5.263
Slovakia,2004,-0.556
Slovakia,2005,-5.028
Slovakia,2006,4.118
Slovakia,2007,1.695
Slovakia,2008,-15.000
Slovakia,2009,9.150
Slovakia,2010,-15.569
Slovakia,2011,3.546
Slovakia,2012,5.479
Slovakia,2013,0.649
Slovakia,2014,1.290
Slovakia,2015,-1.274
Slovakia,2016,-2.581
Slovakia,2017,-1.987
Slovakia,2018,2.027
Slovakia,2019,-1.987
Slovakia,2020,4.730
Slovenia,1991,Infinity
Slovenia,1992,8.696
Slovenia,1993,-20.000
Slovenia,1994,0.000
Slovenia,1995,15.000
Slovenia,1996,4.348
Slovenia,1997,-4.167
Slovenia,1998,8.696
Slovenia,1999,0.000
Slovenia,2000,-6.000
Slovenia,2001,2.128
Slovenia,2002,10.417
Slovenia,2003,3.774
Slovenia,2004,-5.455
Slovenia,2005,5.769
Slovenia,2006,7.273
Slovenia,2007,-6.780
Slovenia,2008,3.636
Slovenia,2009,10.526
Slovenia,2010,-9.524
Slovenia,2011,0.000
Slovenia,2012,8.772
Slovenia,2013,-11.290
Slovenia,2014,-3.636
Slovenia,2015,20.755
Slovenia,2016,-12.500
Slovenia,2017,1.786
Slovenia,2018,10.526
Slovenia,2019,-7.937
Slovenia,2020,0.000
Spain,1969,Infinity
Spain,1970,700.000
Spain,1971,12.500
Spain,1972,177.778
Spain,1973,92.000
Spain,1974,35.417
Spain,1975,10.769
Spain,1976,4.167
Spain,1977,1.333
Spain,1978,-14.474
Spain,1979,16.923
Spain,1980,-11.842
Spain,1981,-22.388
Spain,1982,84.615
Spain,1983,-8.333
Spain,1984,21.591
Spain,1985,115.888
Spain,1986,21.212
Spain,1987,33.929
Spain,1988,10.133
Spain,1989,22.276
Spain,1990,11.089
Spain,1991,-3.209
Spain,1992,2.394
Spain,1993,0.360
Spain,1994,0.538
Spain,1995,-1.426
Spain,1996,0.362
Spain,1997,1.441
Spain,1998,-1.776
Spain,1999,6.691
Spain,2000,-0.169
Spain,2001,5.603
Spain,2002,2.412
Spain,2003,-1.099
Spain,2004,-1.746
Spain,2005,2.746
Spain,2006,-9.591
Spain,2007,4.522
Spain,2008,-8.319
Spain,2009,7.078
Spain,2010,-10.508
Spain,2011,16.667
Spain,2012,-6.331
Spain,2013,6.586
Spain,2014,-7.805
Spain,2015,1.058
Spain,2016,0.000
Spain,2017,2.269
Spain,2018,-0.853
Spain,2019,-3.959
Spain,2020,4.659
Sweden,1966,Infinity
Sweden,1967,0.000
Sweden,1968,0.000
Sweden,1969,0.000
Sweden,1970,100.000
Sweden,1971,0.000
Sweden,1972,0.000
Sweden,1973,1400.000
Sweden,1974,40.000
Sweden,1975,0.000
Sweden,1976,471.429
Sweden,1977,33.333
Sweden,1978,24.375
Sweden,1979,19.598
Sweden,1980,-11.765
Sweden,1981,26.190
Sweden,1982,42.264
Sweden,1983,3.448
Sweden,1984,5.128
Sweden,1985,24.146
Sweden,1986,15.128
Sweden,1987,19.454
Sweden,1988,-3.714
Sweden,1989,2.967
Sweden,1990,-5.476
Sweden,1991,3.963
Sweden,1992,12.610
Sweden,1993,-17.318
Sweden,1994,-3.307
Sweden,1995,19.218
Sweden,1996,-4.508
Sweden,1997,6.295
Sweden,1998,-5.922
Sweden,1999,5.293
Sweden,2000,-0.543
Sweden,2001,-21.721
Sweden,2002,25.829
Sweden,2003,-5.548
Sweden,2004,-1.028
Sweden,2005,15.282
Sweden,2006,-6.435
Sweden,2007,-7.840
Sweden,2008,0.000
Sweden,2009,-4.627
Sweden,2010,-18.310
Sweden,2011,10.536
Sweden,2012,4.853
Sweden,2013,5.785
Sweden,2014,3.906
Sweden,2015,-2.406
Sweden,2016,-13.251
Sweden,2017,12.078
Sweden,2018,4.120
Sweden,2019,4.262
Sweden,2020,-2.190
Switzerland,1970,Infinity
Switzerland,1971,260.000
Switzerland,1972,-22.222
Switzerland,1973,171.429
Switzerland,1974,65.789
Switzerland,1975,12.698
Switzerland,1976,9.859
Switzerland,1977,1.282
Switzerland,1978,2.532
Switzerland,1979,3.704
Switzerland,1980,40.476
Switzerland,1981,21.186
Switzerland,1982,6.993
Switzerland,1983,-1.307
Switzerland,1984,3.974
Switzerland,1985,17.197
Switzerland,1986,21.739
Switzerland,1987,0.000
Switzerland,1988,1.786
Switzerland,1989,-0.877
Switzerland,1990,0.442
Switzerland,1991,3.524
Switzerland,1992,-2.979
Switzerland,1993,2.193
Switzerland,1994,-0.429
Switzerland,1995,4.310
Switzerland,1996,2.066
Switzerland,1997,1.215
Switzerland,1998,0.800
Switzerland,1999,1.984
Switzerland,2000,-3.502
Switzerland,2001,6.048
Switzerland,2002,1.141
Switzerland,2003,1.504
Switzerland,2004,1.111
Switzerland,2005,-1.832
Switzerland,2006,-13.433
Switzerland,2007,18.966
Switzerland,2008,0.362
Switzerland,2009,-0.722
Switzerland,2010,0.000
Switzerland,2011,-3.636
Switzerland,2012,1.509
Switzerland,2013,-4.833
Switzerland,2014,2.344
Switzerland,2015,6.107
Switzerland,2016,-16.187
Switzerland,2017,-8.584
Switzerland,2018,-3.756
Switzerland,2019,19.024
Switzerland,2020,-5.738
Ukraine,1986,Infinity
Ukraine,1987,-19.887
Ukraine,1988,18.033
Ukraine,1989,42.857
Ukraine,1990,-7.639
Ukraine,1991,14.586
Ukraine,1992,-1.444
Ukraine,1993,-1.731
Ukraine,1994,1.897
Ukraine,1995,-8.511
Ukraine,1996,2.471
Ukraine,1997,12.908
Ukraine,1998,-0.251
Ukraine,1999,-5.290
Ukraine,2000,-4.122
Ukraine,2001,7.212
Ukraine,2002,-1.423
Ukraine,2003,2.362
Ukraine,2004,4.359
Ukraine,2005,6.880
Ukraine,2006,2.069
Ukraine,2007,1.577
Ukraine,2008,2.550
Ukraine,2009,-2.919
Ukraine,2010,-7.684
Ukraine,2011,7.600
Ukraine,2012,1.121
Ukraine,2013,-0.111
Ukraine,2014,-7.658
Ukraine,2015,6.250
Ukraine,2016,-0.905
Ukraine,2017,-7.534
Ukraine,2018,5.679
Ukraine,2019,-1.402
Ukraine,2020,-1.659
United Kingdom,1966,Infinity
United Kingdom,1967,33.775
United Kingdom,1968,15.347
United Kingdom,1969,12.446
United Kingdom,1970,11.069
United Kingdom,1971,-10.653
United Kingdom,1972,5.769
United Kingdom,1973,6.909
United Kingdom,1974,-4.762
United Kingdom,1975,20.000
United Kingdom,1976,-9.821
United Kingdom,1977,19.472
United Kingdom,1978,10.497
United Kingdom,1979,-7.000
United Kingdom,1980,2.957
United Kingdom,1981,-3.394
United Kingdom,1982,2.703
United Kingdom,1983,15.789
United Kingdom,1984,13.409
United Kingdom,1985,8.216
United Kingdom,1986,13.148
United Kingdom,1987,-3.273
United Kingdom,1988,-6.599
United Kingdom,1989,15.036
United Kingdom,1990,12.913
United Kingdom,1991,-8.368
United Kingdom,1992,7.306
United Kingdom,1993,8.936
United Kingdom,1994,16.406
United Kingdom,1995,-1.230
United Kingdom,1996,0.793
United Kingdom,1997,6.404
United Kingdom,1998,3.590
United Kingdom,1999,1.427
United Kingdom,2000,-4.422
United Kingdom,2001,-10.515
United Kingdom,2002,5.875
United Kingdom,2003,-2.553
United Kingdom,2004,1.025
United Kingdom,2005,-9.808
United Kingdom,2006,2.000
United Kingdom,2007,-7.475
United Kingdom,2008,-16.556
United Kingdom,2009,-16.667
United Kingdom,2010,31.619
United Kingdom,2011,-10.130
United Kingdom,2012,11.111
United Kingdom,2013,2.029
United Kingdom,2014,0.284
United Kingdom,2015,-9.773
United Kingdom,2016,10.361
United Kingdom,2017,1.991
United Kingdom,2018,-1.953
United Kingdom,2019,-7.397
United Kingdom,2020,-13.671
Other Europe,1982,Infinity
Other Europe,1983,733.333
Other Europe,1984,56.000
Other Europe,1985,12.821
Other Europe,1986,-6.818
Other Europe,1987,-2.439
Other Europe,1988,12.500
Other Europe,1989,-8.889
Other Europe,1990,14.634
Kazakhstan,1990,Infinity
Kazakhstan,1992,400.000
Kazakhstan,1993,0.000
Kazakhstan,1994,-20.000
Kazakhstan,1995,0.000
Kazakhstan,1996,-75.000
Kazakhstan,1997,0.000
Kazakhstan,1998,200.000
Kazakhstan,1999,-66.667
Russian Federation,1986,Infinity
Russian Federation,1987,5.942
Russian Federation,1988,18.536
Russian Federation,1989,8.099
Russian Federation,1990,1.113
Russian Federation,1991,-13.206
Russian Federation,1992,1.437
Russian Federation,1993,-0.333
Russian Federation,1994,-0.334
Russian Federation,1995,-17.953
Russian Federation,1996,1.738
Russian Federation,1997,9.548
Russian Federation,1998,-0.459
Russian Federation,1999,-4.424
Russian Federation,2000,17.551
Russian Federation,2001,7.219
Russian Federation,2002,4.744
Russian Federation,2003,3.433
Russian Federation,2004,6.144
Russian Federation,2005,-3.726
Russian Federation,2006,3.248
Russian Federation,2007,4.685
Russian Federation,2008,2.366
Russian Federation,2009,1.874
Russian Federation,2010,0.307
Russian Federation,2011,4.156
Russian Federation,2012,1.467
Russian Federation,2013,2.660
Russian Federation,2014,-2.817
Russian Federation,2015,4.812
Russian Federation,2016,8.131
Russian Federation,2017,0.563
Russian Federation,2018,3.306
Russian Federation,2019,0.739
Russian Federation,2020,2.151
USSR,1966,Infinity
USSR,1967,10.526
USSR,1968,9.524
USSR,1969,34.783
USSR,1970,16.129
USSR,1971,22.222
USSR,1972,22.727
USSR,1973,81.481
USSR,1974,45.918
USSR,1975,50.350
USSR,1976,33.023
USSR,1977,33.566
USSR,1978,33.508
USSR,1979,2.941
USSR,1980,13.524
USSR,1981,23.993
USSR,1982,17.862
USSR,1983,15.155
USSR,1984,11.067
USSR,1985,29.084
Iran,2012,Infinity
Iran,2013,1400.000
Iran,2014,186.667
Iran,2015,-4.651
Iran,2016,-14.634
Iran,2017,85.714
Iran,2018,7.692
Iran,2019,-1.429
Iran,2020,-7.246
South Africa,1985,Infinity
South Africa,1986,35.897
South Africa,1987,66.038
South Africa,1988,-29.545
South Africa,1989,69.355
South Africa,1990,5.714
South Africa,1991,-24.324
South Africa,1992,8.333
South Africa,1993,2.198
South Africa,1994,-21.505
South Africa,1995,32.877
South Africa,1996,16.495
South Africa,1997,4.425
South Africa,1998,6.780
South Africa,1999,7.937
South Africa,2000,-5.882
South Africa,2001,1.562
South Africa,2002,-17.692
South Africa,2003,12.150
South Africa,2004,5.833
South Africa,2005,5.512
South Africa,2006,-15.672
South Africa,2007,-11.504
South Africa,2008,13.000
South Africa,2009,15.044
South Africa,2010,-1.538
South Africa,2011,5.469
South Africa,2012,-4.444
South Africa,2013,0.775
South Africa,2014,8.462
South Africa,2015,-2.128
South Africa,2016,-11.594
South Africa,2017,30.328
South Africa,2018,-0.629
South Africa,2019,-29.747
South Africa,2020,27.928
China,1994,Infinity
China,1995,825.000
China,1996,-13.514
China,1997,11.719
China,1998,0.699
China,1999,-2.083
China,2000,5.674
China,2001,12.081
China,2002,4.790
China,2003,43.429
China,2004,72.510
China,2005,16.628
China,2006,5.149
China,2007,3.202
China,2008,13.321
China,2009,10.145
China,2010,2.485
